waypoint1	waypoint2	distance_m	duration_s
Coal Harbour Brewing Company , Vancouver, British Columbia    	Callister Brewing Company , Vancouver, British Columbia  	0	0
Main Street Brewing Co. , Vancouver, British Columbia    	Yaletown Brewing Company , Vancouver, British Columbia 	0	0
Hearthstone Brewing , North Vancouver, British Columbia    	Big Rock Brewing , Vancouver, British Columbia    	10987	2786
Deep Cove Brewers and Distillers , North Vancouver, British Columbia    	Dogwood Brewing , Vancouver, British Columbia  	11473	2271
Bomber Brewing , East Vancouver, British Columbia    	Black Kettle Brewing Co. , North Vancouver, British Columbia  	14272	3506
33 Acres Brewing Co. , Vancouver, British Columbia   	Storm Brewing Co. , Vancouver, British Columbia    	0	0
Dogwood Brewing , Vancouver, British Columbia  	Off The Rail Brewing Co. , Vancouver, British Columbia    	0	0
Bridge Brewing Co. , North Vancouver BC    	Callister Brewing Company , Vancouver, British Columbia  	11473	2271
Dogwood Brewing , Vancouver, British Columbia  	R&B Brewing Co. , Vancouver, British Columbia  	0	0
Steamworks Brewing Co. , Vancouver, British Columbia    	R&B Brewing Co. , Vancouver, British Columbia  	0	0
Coal Harbour Brewing Company , Vancouver, British Columbia    	Bomber Brewing , East Vancouver, British Columbia    	8303	1965
33 Acres Brewing Co. , Vancouver, British Columbia   	Yaletown Brewing Company , Vancouver, British Columbia 	0	0
Deep Cove Brewers and Distillers , North Vancouver, British Columbia    	Granville Island Brewing , Vancouver, British Columbia    	11473	2271
R&B Brewing Co. , Vancouver, British Columbia  	Parallel 49 Brewing Co. , East Vancouver, British Columbia    	8303	1965
Strange Fellows Brewing Co. , Vancouver, British Columbia    	Hearthstone Brewing , North Vancouver, British Columbia    	11473	2271
Postmark Brewing Co. , Vancouver, British Columbia    	Storm Brewing Co. , Vancouver, British Columbia    	0	0
Dogwood Brewing , Vancouver, British Columbia  	Storm Brewing Co. , Vancouver, British Columbia    	0	0
Coal Harbour Brewing Company , Vancouver, British Columbia    	Postmark Brewing Co. , Vancouver, British Columbia    	0	0
Red Truck Beer Company , North Vancouver, British Columbia    	Yaletown Brewing Company , Vancouver, British Columbia 	11473	2271
Coal Harbour Brewing Company , Vancouver, British Columbia    	Black Kettle Brewing Co. , North Vancouver, British Columbia  	11473	2271
33 Acres Brewing Co. , Vancouver, British Columbia   	Black Kettle Brewing Co. , North Vancouver, British Columbia  	10987	2786
Dogwood Brewing , Vancouver, British Columbia  	Big Rock Brewing , Vancouver, British Columbia    	0	0
Off The Rail Brewing Co. , Vancouver, British Columbia    	Big Rock Brewing , Vancouver, British Columbia    	0	0
